name,canonical_title
Data Analyst,Data Analyst
Export Manager,Export Manager
Waiter/Waitress,Waiter Waitress
Occupational Health and Safety (OHS) Manager,Occupational Health And Safety Ohs Manager
Delivery Driver,Delivery Driver
Customer Care Representative,Customer Care Representative
Bookkeeper Assistant (On-site),Bookkeeper Assistant On-Site
Network Engineer,Network Engineer
Оператор Колл-Центра,Оператор Колл-Центра
Customer Analytics Specialist,Customer Analytics Specialist
Senior Customer Analytics Specialist,Customer Analytics Specialist
Head of Engineering,Of Engineering
Call Center Operator (Evening Shift),Call Center Operator Evening Shift
Vendor Specialist,Vendor Specialist
Business Development and Integration Specialist / VBET,Business Development And Integration Specialist Vbet
Traffic Coordinator,Traffic Coordinator
Debt Collection Specialist,Debt Collection Specialist
Bank Account Information Department - Head of Department,Bank Account Information Department - Of Department
Chief Specialist of Card Transaction Complaints and Card Account Control Department,Specialist Of Card Transaction Complaints And Card Account Control Department
Head of International Relations and Operations Service,Of International Relations And Operations Service
Platform Technical Lead,Platform Technical
Cutting Software Operator,Cutting Software Operator
Sales manager,Sales Manager
Middle Finance Specialist,Finance Specialist
Middle/Senior Promo Manager,Promo Manager
IT Asset Lifecycle & Service Desk Specialist,It Asset Lifecycle & Service Desk Specialist
Employee Performance and Career Management Chief Specialist,Employee Performance And Career Management Specialist
Project and Partnership Manager at TUMO Labs,Project And Partnership Manager At Tumo Labs
Bank Teller,Bank Teller
Final External Review,Final External Review
Accountant,Accountant
Delegator (Ijevan city),Delegator Ijevan City
Delegator,Delegator
System Administrator,System Administrator
"Intern, Collection Specialist (all genders)",Collection Specialist All Genders
Solution architect,Solution
Chief Analyst of Financial Analysis Department,Analyst Of Financial Analysis Department
HS Operator (Office),Hs Operator Office
Marketing Specialist,Marketing Specialist
Driver-Delivery Driver,Driver-Delivery Driver
Senior Network Infrastructure Engineer,Network Infrastructure Engineer
Call Operator,Call Operator
Terminal Service Specialist,Terminal Service Specialist
"Customer Manager, Arabkir Branch",Customer Manager Arabkir Branch
Monitoring Specialist,Monitoring Specialist
AI Developer,Ai Developer
Assistant to the Director of the Dilijan Training and Research Center/ Dilijan Training and Research Center,Assistant To The Director Of The Dilijan Training And Research Center Dilijan Training And Research Center
Provider Communication Specialist | Relum,Provider Communication Specialist Relum
"Customer Manager, Old Yerevan Branch",Customer Manager Old Yerevan Branch
"Teller, Homplex branch",Teller Homplex Branch
Broker,Broker
Client Relations Specialist,Client Relations Specialist
Settlement Specialist,Settlement Specialist
"Jeweler-Appraiser, Sisian Branch",Jeweler-Appraiser Sisian Branch
Office Coordinator,Office Coordinator
Informant Specialist,Informant Specialist
“Echmiatsin” Branch Credit Officer/Business Development Manager,“Echmiatsin” Branch Credit Officer Business Development Manager
Production Manager,Production Manager
Underwriting Department Manager,Underwriting Department Manager
Mid-Level Programmer,Programmer
“Meghri” Branch Credit Officer/Business Development Manager,“Meghri” Branch Credit Officer Business Development Manager
IT Monitoring Specialist,It Monitoring Specialist
Service Specialist/Ashtarak Branch,Service Specialist Ashtarak Branch
Voskerich /Ararat Branch,Voskerich Ararat Branch
Business Development Specialist – Duty Free Channels,Business Development Specialist – Duty Free Channels
Supervisor/ Financial Supervision and Licensing Directorate/ Licensing and Registration Division 2,Supervisor Financial Supervision And Licensing Directorate Licensing And Registration Division 2
Cashier - Operator,Cashier - Operator
Hotline Specialist,Hotline Specialist
Voskerich /Yerevan Branches/,Voskerich Yerevan Branches
Casino Monitoring Specialist | Relum,Casino Monitoring Specialist Relum
Casino Operations Specialist | Relum,Casino Operations Specialist Relum
